county,precinct_id,boundary_name,source_name,method
COLUMBIA,131,JOURNEY COMM. CHURCH,Journey Comm. Church,name
COLUMBIA,064,GRACE BAPTIST CHURCH,Grace Baptist Church,name
COLUMBIA,061,GREENBRIER HIGH,Greenbrier High,name
COLUMBIA,063,RIVERSIDE ELEMENTARY,Riverside Elementary,name
COLUMBIA,132,WESLEY METHODIST,Wesley Methodist,name
COLUMBIA,135,"CHRIST CHURCH, PRESBYTERIAN",,unmatched
COLUMBIA,107,GOSPEL WATER BRANCH,Gospel Water Branch,name
COLUMBIA,040,EUBANK/BLANCHARD CTR,Eubank/Blanchard Center,name
COLUMBIA,109,STEVENS CREEK CHURCH,Stevens Creek Church,name
COLUMBIA,136,BLUERIDGE ELEMENTARY,Blue Ridge Elementary,name
COLUMBIA,137,CHRIST THE KING CH,Christ The King Luth Ch,unique_name_similarity
COLUMBIA,100,AUGUSTA CHRISTIAN,Augusta Christian,name
COLUMBIA,105,STEVENS CREEK ELEM,Stevens Creek Elem,name
COLUMBIA,108,GENESIS CHURCH,Genesis Church,name
COLUMBIA,065,CHRIST SANCTIFIED,Christ Sanctified,name
COLUMBIA,060,COL CTY BOARD OF EDU,Col Cty Bd Of Edu,unique_name_similarity
COLUMBIA,074,MTZ COL FIRE DEPT #4,Mtz Col Fire Dept #4,name
COLUMBIA,076,MARVIN METHODIST,,unmatched
COLUMBIA,085,TRINITY BAPT CHURCH,Trinity Bapt Church,name
COLUMBIA,120,GOLD CROSS EMS,Gold Cross EMS,name
COLUMBIA,125,CHURCH OF OUR SAVIOR,Church of our Savior,name
COLUMBIA,130,WEST ACRES BAPTIST,West Acres Baptist,name
COLUMBIA,134,COL CTY MAIN LIBRARY,Col Cty Main Library,name
COLUMBIA,015,LEWIS METHODIST,,unmatched
COLUMBIA,062,REDEEMER CHURCH,Redeemer Church,name
COLUMBIA,026,PHILADELPHIA CHURCH,Philadelphia Church,name
COLUMBIA,010,KIOKEE BAPT CHURCH,,unmatched
COLUMBIA,033,GROVETOWN MIDDLE SCH,Grovetown Middle School,name
COLUMBIA,030,GROVETOWN CITY HALL,Grovetown City Hall,name
COLUMBIA,031,GROVETOWN METHODIST,,unmatched
COLUMBIA,034,WARREN BAPTIST CHURCH-GROVETOWN,Warren Baptist Church - Grovetown,name
COLUMBIA,017,PATRIOTS PARK,Patriots Park,name
COLUMBIA,016,WOODLAWN BAPT CHURCH,Woodlawn Baptist Church,unique_name_similarity
COLUMBIA,025,BESSIE THOMAS CENTER,Bessie Thomas Center,name
COLUMBIA,021,HARLEM BAPTIST,,unmatched
COLUMBIA,020,HARLEM MIDDLE SCHOOL,Harlem Middle School-10; Harlem Middle School-12,district_split_name
COLUMBIA,080,WESTSIDE BAPT CHURCH,Westside Bapt Church,name
COLUMBIA,090,ABILENE BAPTIST,Abilene Baptist,name
COLUMBIA,110,MTZ COL FIRE HDQTR.,Mtz Col Fire Hdqtr,name
COLUMBIA,115,MARTINEZ BAPTIST,Martinez Baptist,name
COLUMBIA,111,LAKESIDE MIDDLE,Lakeside Middle,name
COLUMBIA,032,G A APOSTOLIC CHURCH,G A Apostolic Church,name
COLUMBIA,075,BELAIR BAPTIST CHURCH,Belair Baptist Church,name
COLUMBIA,070,BLANCHARD PARK,Blanchard Park,name
