county,precinct_id,source_name
TROUP,2,Admin
TROUP,4,Griggs
TROUP,1,Hollis
TROUP,3,Hammett
TROUP,12,Gardner
CARROLL,1111,Bowden Sr Ctr
CARROLL,714BW,Old Camp Church
CARROLL,1483,Clem Comm Ctr
CARROLL,682,Whitesburg Rec Dept
CARROLL,714A4,Townsend Ctr UWG
CARROLL,714A3,Bonner Rec Ctr
CARROLL,714A2,Lakeshore Rec Ctr
CARROLL,641,VR Gold Dust Park
CARROLL,1540,Fairfield Rec Ctr
CARROLL,642,Powell Park Rec Ctr
COLUMBIA,31,Grovetown Methodist
COLUMBIA,68,Parkway Elementary
COLUMBIA,15,Lewis Methodist
COLUMBIA,65,Christ Sanctified
COLUMBIA,130,West Acres Baptist
COLUMBIA,90,Abilene Baptist
COLUMBIA,115,Martinez Baptist
COLUMBIA,137,Christ The King Church
COLUMBIA,100,Augusta Christian
COLUMBIA,132,Wesley Methodist
COLUMBIA,107,Gospel Water Branch
PAULDING,0017C,Airport
PAULDING,0013B,S Paulding Middle School
PAULDING,0007B,Watson Govt Complex
PAULDING,0008C,E Paulding Middle School
PAULDING,0003C,Shelton Elementary
PAULDING,0004C,Russom Elementary
MCDUFFIE,101,NMcDuffie
LAMAR,1712ABC,Civic Center
TIFT,9,Tifton NW
TIFT,1,Tifton NE
DOUGLAS,784,Factory Shoals Middle School
DOUGLAS,1270,Atlanta West
DOUGLAS,1272,Prays Mill
DOUGLAS,1259,Winston Elementary School
DOUGLAS,736N,Chapel Hill Middle School
DOUGLAS,740,St. Theresa's
DOUGLAS,1276,Deer Lick Park
DOUGLAS,1273,Turner Middle School
DOUGHERTY,20,International Studies
DOUGHERTY,24,Christ Church
DOUGHERTY,7,Westtown School
DOUGHERTY,25,Lamar Reese School
DOUGHERTY,11,First Mount Olive
DOUGHERTY,5,Merry Acres Middle
DOUGHERTY,26,ASU East Campus
DOUGHERTY,15,Turner Elementary School
LOWNDES,19,South Lowndes Recreation Center
LOWNDES,16,Clyattville Community Center
LOWNDES,14,Mt. Calvary Church
LOWNDES,15,Mildred Community Center
LOWNDES,17,Dasher City Hall
LOWNDES,9,Jaycee Community Center
LOWNDES,11,Naylor Community Center
LOWNDES,3,Hahira Community Center
LOWNDES,6,Trinity Church
LOWNDES,4,Pine Grove Church
GRADY,C04,Cairo 4th District
GRADY,C05,Cairo 5th District
HOUSTON,NHSC,NHSC
MUSCOGEE,101,INC Columbus
MUSCOGEE,117,Gentian/Cunningham
