county,precinct_id,boundary_name,source_name,method
COLUMBIA,131,JOURNEY COMM. CHURCH,Journey Comm. Church,name
COLUMBIA,64,GRACE BAPTIST CHURCH,Grace Baptist Church,name
COLUMBIA,61,GREENBRIER HIGH,Greenbrier High,name
COLUMBIA,132,WESLEY METHODIST,Wesley Methodist,name
COLUMBIA,63,RIVERSIDE ELEMENTARY,Riverside Elementary,name
COLUMBIA,135,BIBLE CATHEDRAL,Bible Cathedral,name
COLUMBIA,107,GOSPEL WATER BRANCH,Gospel Water Branch,name
COLUMBIA,40,EUBANK/BLANCHARD CENTER,Eubank/Blanchard Center,name
COLUMBIA,106,SAVANNAH RAPIDS,Savannah Rapids,name
COLUMBIA,90,ABILENE BAPTIST,Abilene Baptist,name
COLUMBIA,110,MTZ COL FIRE HDQTR,Mtz Col Fire Hdqtr,name
COLUMBIA,115,MARTINEZ BAPTIST,Martinez Baptist,name
COLUMBIA,111,LAKESIDE MIDDLE,Lakeside Middle,name
COLUMBIA,136,BLUE RIDGE ELEMENTARY,Blue Ridge Elementary,name
COLUMBIA,137,CHRIST THE KING LUTH CH,Christ The King Luth Ch,name
COLUMBIA,100,AUGUSTA CHRISTIAN,Augusta Christian,name
COLUMBIA,85,TRINITY BAPT CHURCH,Trinity Bapt Church,name
COLUMBIA,120,GOLD CROSS EMS,Gold Cross EMS,name
COLUMBIA,125,CHURCH OF OUR SAVIOR,Church of our Savior,name
COLUMBIA,130,WEST ACRES BAPTIST,West Acres Baptist,name
COLUMBIA,134,COL CTY MAIN LIBRARY,Col Cty Main Library,name
COLUMBIA,70,BLANCHARD PARK,Blanchard Park,name
COLUMBIA,65,CHRIST SANCTIFIED,Christ Sanctified,name
COLUMBIA,60,COL CTY BD OF EDU,Col Cty Bd Of Edu,name
COLUMBIA,74,MTZ COL FIRE DEPT #4,Mtz Col Fire Dept #4,name
COLUMBIA,76,MARVIN METHODIST CHURCH,Marvin Methodist Church,name
COLUMBIA,16,WOODLAWN BAPTIST CHURCH,Woodlawn Baptist Church,name
COLUMBIA,15,LEWIS METHODIST CHURCH,Lewis Methodist Church,name
COLUMBIA,62,REDEEMER CHURCH,Redeemer Church,name
COLUMBIA,26,PHILADELPHIA CHURCH,Philadelphia Church,name
COLUMBIA,10,KIOKEE BAPTIST CHURCH,Kiokee Baptist Church,name
COLUMBIA,30,GROVETOWN CITY HALL,Grovetown City Hall,name
COLUMBIA,33,GROVETOWN MIDDLE SCHOOL,Grovetown Middle School,name
COLUMBIA,31,GROVETOWN METHODIST CHURCH,Grovetown Methodist Church,name
COLUMBIA,17,PATRIOTS PARK,Patriots Park,name
COLUMBIA,25,BESSIE THOMAS CENTER,Bessie Thomas Center,name
COLUMBIA,105,STEVENS CREEK ELEM,Stevens Creek Elem,name
COLUMBIA,108,GENESIS CHURCH,Genesis Church,name
COLUMBIA,109,STEVENS CREEK CHURCH,Stevens Creek Church,name
COLUMBIA,21,HARLEM BAPTIST CHURCH,Harlem Baptist Church,name
COLUMBIA,20,HARLEM MIDDLE SCHOOL,Harlem Middle School,name
COLUMBIA,32,G A APOSTOLIC CHURCH,G A Apostolic Church,name
COLUMBIA,75,BROOKWOOD ELEMENTARY,Brookwood Elementary,name
COLUMBIA,80,WESTSIDE BAPT CHURCH,Westside Bapt Church,name
COLUMBIA,51,DAMASCUS BAPTIST CHURCH,Damascus Baptist Church,name
COLUMBIA,50,G W JONES CENTER,G W Jones Center,name
FAYETTE,7,HOPEFUL,HOPEFUL,name
FAYETTE,5,FAYETTEVILLE WEST,FAYETTEVILLE WEST,name
FAYETTE,8,MORNING CREEK,MORNING CREEK,name
FAYETTE,1,BLACKROCK,BLACKROCK,name
FAYETTE,30,MURPHY,MURPHY,name
FAYETTE,26,WILLOW POND,WILLOW POND,name
FAYETTE,27,DOGWOOD,DOGWOOD,name
FAYETTE,35,SPRING HILL,SPRING HILL,name
FAYETTE,34,RISING STAR,RISING STAR,name
FAYETTE,22,BRAELINN,BRAELINN,name
FAYETTE,13,STARRSMILL,STARRSMILL,name
