county,precinct_id,boundary_name,source_name,method
DOUGLAS,785,BOUNDARY WATERS,Boundary Waters,name
DOUGLAS,784,FACTORY SHOALS,Factory Shoals Middle School,reviewed_alias
DOUGLAS,1275,LITHIA SPRINGS HIGH SCHOOL,Lithia Springs High School,name
DOUGLAS,1274,FIRST BAPTIST LITHIA SPRINGS,First Baptist Lithia Springs,name
DOUGLAS,1270,ATLANTA WEST PENTECOSTAL,Atlanta West,reviewed_alias
DOUGLAS,1260,DOG RIVER LIBRARY,Dog River Library,name
DOUGLAS,1271,EPHESUS BAPTIST CHUR,Ephesus Baptist Church,unique_name_similarity
DOUGLAS,1258,MIRROR LAKE ELEMENTA,Mirror Lake Elementary,unique_name_similarity
DOUGLAS,1272,PRAYS MILL GYM,Prays Mill,reviewed_alias
DOUGLAS,736S,CHAPEL HILL HIGH SCHOOL,Chapel Hill High School,name
DOUGLAS,734,ELIZABETH BAPTIST CHURCH,Elizabeth Baptist Church,name
DOUGLAS,735,DORSETT SHOALS,Dorsett Shoals,name
DOUGLAS,1259,WINSTON,Winston Elementary School,reviewed_alias
DOUGLAS,738,ST JULIANS EPISCOPAL,St Julians Episcopal,name
DOUGLAS,733,ARBOR STATION,Arbor Station,name
DOUGLAS,730,OLD COURTHOUSE,Old Courthouse,name
DOUGLAS,729,GOLDEN METHODIST CH,Golden Methodist Church,unique_name_similarity
DOUGLAS,732,STEWART,Stewart,name
DOUGLAS,736N,CHAPEL HILL,Chapel Hill Middle School,reviewed_alias
DOUGLAS,739,LUTHERAN CHURCH - GS,Lutheran Church,unique_name_similarity
DOUGLAS,740,ST THERESA'S CATHOLIC CHURCH,St. Theresa's,reviewed_alias
DOUGLAS,737,CHESTNUT LOG,Chestnut Log,name
DOUGLAS,1276,DEER LICK,Deer Lick Park,reviewed_alias
DOUGLAS,731,BEULAH BAPTIST CHURCH,Beulah Baptist Church,name
DOUGLAS,1273,TURNER,Turner Middle School,reviewed_alias
FULTON,SC05A,SC05A,SC05A,name
FULTON,SC05D,SC05D,SC05D,name
FULTON,SC15,SC15,SC15,name
FULTON,FA01A,FA01A,FA01A,name
FULTON,SC07D,SC07D,SC07D,name
FULTON,UC02D,UC02D,UC02D,name
FULTON,SC21A,SC21A,,unmatched
FULTON,UC02E,UC02E,UC02E,name
FULTON,SC07F,SC07F,SC07F,name
FULTON,UC02C,UC02C,UC02C,name
FULTON,SC08G,SC08G,SC08G,name
FULTON,SC08L,SC08L,,unmatched
FULTON,SC08A,SC08A,,unmatched
FULTON,SC08F,SC08F,SC08F,name
FULTON,UC02F,UC02F,UC02F,name
FULTON,SC05E,SC05E,SC05E,name
FULTON,SC05G,SC05G,SC05G,name
FULTON,SC07B,SC07B,,unmatched
FULTON,SC20A,SC20A,SC20A,name
FULTON,SC01B,SC01B,SC01B,name
FULTON,SC05H,SC05H,SC05H,name
FULTON,SC05J,SC05J,SC05J,name
FULTON,UC02B,UC02B,UC02B,name
FULTON,SC05C,SC05C,SC05C,name
FULTON,SC08C,SC08C,SC08C,name
FULTON,SC05B,SC05B,SC05B,name
FULTON,SC18C,SC18C,SC18C,name
FULTON,SC20,SC20,SC20,name
